community_area,service_request_type,total_requests,avg_response_time,community_area_name,total_population,income_estimate,pct_black,pct_hispanic,pct_white,pct_asian,requests_per_1000_by_type
1,311 INFORMATION ONLY CALL,752,7.350768321513003e-05,ROGERS PARK,53169,86660.09423332992,25.58257631326525,19.93454832703267,47.262502586093404,5.172186800579285,14.143579905584081
1,Abandoned Vehicle Complaint,1549,397.4595466609282,ROGERS PARK,53169,86660.09423332992,25.58257631326525,19.93454832703267,47.262502586093404,5.172186800579285,29.133517651262956
1,Alley Light Out Complaint,96,228.86629629629627,ROGERS PARK,53169,86660.09423332992,25.58257631326525,19.93454832703267,47.262502586093404,5.172186800579285,1.805563392202223
1,Alley Pothole Complaint,199,342.24830541596873,ROGERS PARK,53169,86660.09423332992,25.58257631326525,19.93454832703267,47.262502586093404,5.172186800579285,3.7427824484191916
1,Alley Sewer Inspection Request,54,632.6514094650206,ROGERS PARK,53169,86660.09423332992,25.58257631326525,19.93454832703267,47.262502586093404,5.172186800579285,1.0156294081137505
1,Animal In Trap Complaint,1,3.9766666666666666,ROGERS PARK,53169,86660.09423332992,25.58257631326525,19.93454832703267,47.262502586093404,5.172186800579285,0.01880795200210649
1,Bee/Wasp Removal,10,151.90052777777777,ROGERS PARK,53169,86660.09423332992,25.58257631326525,19.93454832703267,47.262502586093404,5.172186800579285,0.1880795200210649
1,Bicycle Request/Complaint,10,85.41427777777778,ROGERS PARK,53169,86660.09423332992,25.58257631326525,19.93454832703267,47.262502586093404,5.172186800579285,0.1880795200210649
1,Blue Recycling Cart,157,585.0302671620666,ROGERS PARK,53169,86660.09423332992,25.58257631326525,19.93454832703267,47.262502586093404,5.172186800579285,2.952848464330719
1,Building Violation,874,1676.6059572845156,ROGERS PARK,53169,86660.09423332992,25.58257631326525,19.93454832703267,47.262502586093404,5.172186800579285,16.438150049841074
1,Buildings - Plumbing Violation,305,1930.6655273224044,ROGERS PARK,53169,86660.09423332992,25.58257631326525,19.93454832703267,47.262502586093404,5.172186800579285,5.736425360642479
1,Business Complaints,62,798.4442293906809,ROGERS PARK,53169,86660.09423332992,25.58257631326525,19.93454832703267,47.262502586093404,5.172186800579285,1.1660930241306025
1,Cab Feedback,50,911.4009833333333,ROGERS PARK,53169,86660.09423332992,25.58257631326525,19.93454832703267,47.262502586093404,5.172186800579285,0.9403976001053245
1,Cable TV Complaint,7,456.9556349206349,ROGERS PARK,53169,86660.09423332992,25.58257631326525,19.93454832703267,47.262502586093404,5.172186800579285,0.13165566401474543
1,Check for Leak,155,300.38513261648745,ROGERS PARK,53169,86660.09423332992,25.58257631326525,19.93454832703267,47.262502586093404,5.172186800579285,2.915232560326506
1,City Vehicle Sticker Violation,62,322.65160842293903,ROGERS PARK,53169,86660.09423332992,25.58257631326525,19.93454832703267,47.262502586093404,5.172186800579285,1.1660930241306025
1,Clean Vacant Lot Request,31,59.330663082437276,ROGERS PARK,53169,86660.09423332992,25.58257631326525,19.93454832703267,47.262502586093404,5.172186800579285,0.5830465120653012
1,Clean and Green Program Request,3,324.40074074074073,ROGERS PARK,53169,86660.09423332992,25.58257631326525,19.93454832703267,47.262502586093404,5.172186800579285,0.05642385600631947
1,Commercial Fire Safety Inspection Request,11,756.4813888888889,ROGERS PARK,53169,86660.09423332992,25.58257631326525,19.93454832703267,47.262502586093404,5.172186800579285,0.2068874720231714
1,Consumer Fraud Complaint,36,2584.5135648148153,ROGERS PARK,53169,86660.09423332992,25.58257631326525,19.93454832703267,47.262502586093404,5.172186800579285,0.6770862720758337
1,Consumer Retail Business Complaint,19,965.3992251461988,ROGERS PARK,53169,86660.09423332992,25.58257631326525,19.93454832703267,47.262502586093404,5.172186800579285,0.3573510880400233
1,Coyote Interaction Complaint,14,22.933214285714286,ROGERS PARK,53169,86660.09423332992,25.58257631326525,19.93454832703267,47.262502586093404,5.172186800579285,0.26331132802949087
1,Dead Animal Pick-Up Request,334,45.807980705256156,ROGERS PARK,53169,86660.09423332992,25.58257631326525,19.93454832703267,47.262502586093404,5.172186800579285,6.281855968703568
1,Dead Bird,31,53.095232974910395,ROGERS PARK,53169,86660.09423332992,25.58257631326525,19.93454832703267,47.262502586093404,5.172186800579285,0.5830465120653012
1,Divvy Bike Parking Complaint,39,4.074337606837607,ROGERS PARK,53169,86660.09423332992,25.58257631326525,19.93454832703267,47.262502586093404,5.172186800579285,0.7335101280821531
1,E-Scooter Parking Complaint,42,109.18312169312169,ROGERS PARK,53169,86660.09423332992,25.58257631326525,19.93454832703267,47.262502586093404,5.172186800579285,0.7899339840884726
1,Finance Parking Code Enforcement Review,276,0.00011876006441223834,ROGERS PARK,53169,86660.09423332992,25.58257631326525,19.93454832703267,47.262502586093404,5.172186800579285,5.190994752581391
1,Fly Dumping Complaint,235,46.92229314420804,ROGERS PARK,53169,86660.09423332992,25.58257631326525,19.93454832703267,47.262502586093404,5.172186800579285,4.4198687204950255
1,Garbage Cart Maintenance,399,513.7798844333055,ROGERS PARK,53169,86660.09423332992,25.58257631326525,19.93454832703267,47.262502586093404,5.172186800579285,7.5043728488404895
1,Graffiti Removal Request,2819,52.62066916952426,ROGERS PARK,53169,86660.09423332992,25.58257631326525,19.93454832703267,47.262502586093404,5.172186800579285,53.0196166939382
1,Home Buyer Program Info Request,10,227.11880555555553,ROGERS PARK,53169,86660.09423332992,25.58257631326525,19.93454832703267,47.262502586093404,5.172186800579285,0.1880795200210649
1,Ice and Snow Removal Request,13,2.7542735042735043,ROGERS PARK,53169,86660.09423332992,25.58257631326525,19.93454832703267,47.262502586093404,5.172186800579285,0.2445033760273844
1,Inaccurate Fuel Pump Complaint,2,694.1969444444444,ROGERS PARK,53169,86660.09423332992,25.58257631326525,19.93454832703267,47.262502586093404,5.172186800579285,0.03761590400421298
1,Inspect Public Way Request,146,1911.241392694064,ROGERS PARK,53169,86660.09423332992,25.58257631326525,19.93454832703267,47.262502586093404,5.172186800579285,2.745960992307548
1,Lead Inspection Request,12,382.76229166666667,ROGERS PARK,53169,86660.09423332992,25.58257631326525,19.93454832703267,47.262502586093404,5.172186800579285,0.22569542402527787
1,Liquor Establishment Complaint,2,2862.5651388888887,ROGERS PARK,53169,86660.09423332992,25.58257631326525,19.93454832703267,47.262502586093404,5.172186800579285,0.03761590400421298
1,Low Water Pressure Complaint,22,49.48041666666666,ROGERS PARK,53169,86660.09423332992,25.58257631326525,19.93454832703267,47.262502586093404,5.172186800579285,0.4137749440463428
1,Missed Garbage Pick-Up Complaint,136,32.07170751633987,ROGERS PARK,53169,86660.09423332992,25.58257631326525,19.93454832703267,47.262502586093404,5.172186800579285,2.5578814722864824
1,No Air Conditioning,19,30.5562134502924,ROGERS PARK,53169,86660.09423332992,25.58257631326525,19.93454832703267,47.262502586093404,5.172186800579285,0.3573510880400233
1,No Building Permit and Construction Violation,108,6231.814979423868,ROGERS PARK,53169,86660.09423332992,25.58257631326525,19.93454832703267,47.262502586093404,5.172186800579285,2.031258816227501
1,No Solicitation Complaint,9,113.45484567901235,ROGERS PARK,53169,86660.09423332992,25.58257631326525,19.93454832703267,47.262502586093404,5.172186800579285,0.16927156801895843
1,No Water Complaint,35,11.527055555555556,ROGERS PARK,53169,86660.09423332992,25.58257631326525,19.93454832703267,47.262502586093404,5.172186800579285,0.6582783200737272
1,Nuisance Animal Complaint,82,211.57470528455283,ROGERS PARK,53169,86660.09423332992,25.58257631326525,19.93454832703267,47.262502586093404,5.172186800579285,1.5422520641727322
1,Open Fire Hydrant Complaint,68,559.5836805555556,ROGERS PARK,53169,86660.09423332992,25.58257631326525,19.93454832703267,47.262502586093404,5.172186800579285,1.2789407361432412
1,Outdated Merchandise Complaint,1,240.47555555555556,ROGERS PARK,53169,86660.09423332992,25.58257631326525,19.93454832703267,47.262502586093404,5.172186800579285,0.01880795200210649
1,Paid Sick Leave Violation,2,474.1251388888889,ROGERS PARK,53169,86660.09423332992,25.58257631326525,19.93454832703267,47.262502586093404,5.172186800579285,0.03761590400421298
1,Pavement Cave-In Inspection Request,1,0.7869444444444444,ROGERS PARK,53169,86660.09423332992,25.58257631326525,19.93454832703267,47.262502586093404,5.172186800579285,0.01880795200210649
1,Pet Wellness Check Request,52,389.3655876068376,ROGERS PARK,53169,86660.09423332992,25.58257631326525,19.93454832703267,47.262502586093404,5.172186800579285,0.9780135041095376
1,Porch Inspection Request,15,251.04435185185184,ROGERS PARK,53169,86660.09423332992,25.58257631326525,19.93454832703267,47.262502586093404,5.172186800579285,0.28211928003159736
1,Pothole in Street Complaint,1693,190.68715872547088,ROGERS PARK,53169,86660.09423332992,25.58257631326525,19.93454832703267,47.262502586093404,5.172186800579285,31.841862739566288
1,Protected Bike Lane - Debris Removal,2,10659.854305555555,ROGERS PARK,53169,86660.09423332992,25.58257631326525,19.93454832703267,47.262502586093404,5.172186800579285,0.03761590400421298
1,Public Vehicle/Valet Complaint,5,264.89683333333335,ROGERS PARK,53169,86660.09423332992,25.58257631326525,19.93454832703267,47.262502586093404,5.172186800579285,0.09403976001053245
1,Pushcart Food Vendor Complaint,5,785.5162777777778,ROGERS PARK,53169,86660.09423332992,25.58257631326525,19.93454832703267,47.262502586093404,5.172186800579285,0.09403976001053245
1,Recycling Inspection Request,34,793.0038480392157,ROGERS PARK,53169,86660.09423332992,25.58257631326525,19.93454832703267,47.262502586093404,5.172186800579285,0.6394703680716206
1,Recycling Pick Up,49,236.45645691609974,ROGERS PARK,53169,86660.09423332992,25.58257631326525,19.93454832703267,47.262502586093404,5.172186800579285,0.921589648103218
1,Report an Injured Animal,121,18.983069329660236,ROGERS PARK,53169,86660.09423332992,25.58257631326525,19.93454832703267,47.262502586093404,5.172186800579285,2.275762192254885
1,Restaurant Complaint,48,382.72325231481483,ROGERS PARK,53169,86660.09423332992,25.58257631326525,19.93454832703267,47.262502586093404,5.172186800579285,0.9027816961011115
1,Ridesharing Complaint,6,737.2763425925926,ROGERS PARK,53169,86660.09423332992,25.58257631326525,19.93454832703267,47.262502586093404,5.172186800579285,0.11284771201263893
1,Rodent Baiting/Rat Complaint,1762,172.1840758607643,ROGERS PARK,53169,86660.09423332992,25.58257631326525,19.93454832703267,47.262502586093404,5.172186800579285,33.139611427711635
1,Sanitation Code Violation,385,54.46036002886003,ROGERS PARK,53169,86660.09423332992,25.58257631326525,19.93454832703267,47.262502586093404,5.172186800579285,7.241061520810998
1,Sewer Cave-In Inspection Request,107,1369.047380581516,ROGERS PARK,53169,86660.09423332992,25.58257631326525,19.93454832703267,47.262502586093404,5.172186800579285,2.0124508642253947
1,Sewer Cleaning Inspection Request,177,707.3830571249215,ROGERS PARK,53169,86660.09423332992,25.58257631326525,19.93454832703267,47.262502586093404,5.172186800579285,3.3290075043728486
1,Shared Cost Sidewalk Program Request,6,9165.637731481482,ROGERS PARK,53169,86660.09423332992,25.58257631326525,19.93454832703267,47.262502586093404,5.172186800579285,0.11284771201263893
1,Shared Housing/Vacation Rental Complaint,13,848.8375641025642,ROGERS PARK,53169,86660.09423332992,25.58257631326525,19.93454832703267,47.262502586093404,5.172186800579285,0.2445033760273844
1,Sidewalk Café/Outdoor Dining Complaint,8,2570.5300347222224,ROGERS PARK,53169,86660.09423332992,25.58257631326525,19.93454832703267,47.262502586093404,5.172186800579285,0.15046361601685193
1,Sidewalk Inspection Request,95,15218.398833333333,ROGERS PARK,53169,86660.09423332992,25.58257631326525,19.93454832703267,47.262502586093404,5.172186800579285,1.7867554402001167
1,Sign Repair Request - All Other Signs,186,4169.206735364397,ROGERS PARK,53169,86660.09423332992,25.58257631326525,19.93454832703267,47.262502586093404,5.172186800579285,3.4982790723918074
1,Sign Repair Request - Do Not Enter Sign,7,14.383849206349208,ROGERS PARK,53169,86660.09423332992,25.58257631326525,19.93454832703267,47.262502586093404,5.172186800579285,0.13165566401474543
1,Sign Repair Request - One Way Sign,19,18.258494152046783,ROGERS PARK,53169,86660.09423332992,25.58257631326525,19.93454832703267,47.262502586093404,5.172186800579285,0.3573510880400233
1,Sign Repair Request - Stop Sign,88,13.148699494949495,ROGERS PARK,53169,86660.09423332992,25.58257631326525,19.93454832703267,47.262502586093404,5.172186800579285,1.6550997761853712
1,Snow - Object/Dibs Removal Request,8,18.13451388888889,ROGERS PARK,53169,86660.09423332992,25.58257631326525,19.93454832703267,47.262502586093404,5.172186800579285,0.15046361601685193
1,Snow Removal - Protected Bike Lane or Bridge Sidewalk,1,256.08694444444444,ROGERS PARK,53169,86660.09423332992,25.58257631326525,19.93454832703267,47.262502586093404,5.172186800579285,0.01880795200210649
1,Snow – Uncleared Sidewalk Complaint,101,183.18328657865786,ROGERS PARK,53169,86660.09423332992,25.58257631326525,19.93454832703267,47.262502586093404,5.172186800579285,1.8996031522127557
1,Stray Animal Complaint,70,319.1747301587302,ROGERS PARK,53169,86660.09423332992,25.58257631326525,19.93454832703267,47.262502586093404,5.172186800579285,1.3165566401474544
1,Street Cleaning Request,101,40.287808030803085,ROGERS PARK,53169,86660.09423332992,25.58257631326525,19.93454832703267,47.262502586093404,5.172186800579285,1.8996031522127557
1,Street Light On During Day Complaint,10,2953.127916666667,ROGERS PARK,53169,86660.09423332992,25.58257631326525,19.93454832703267,47.262502586093404,5.172186800579285,0.1880795200210649
1,Street Light Out Complaint,482,328.11747003227293,ROGERS PARK,53169,86660.09423332992,25.58257631326525,19.93454832703267,47.262502586093404,5.172186800579285,9.065432865015328
1,Street Light Pole Damage Complaint,63,1431.6716931216931,ROGERS PARK,53169,86660.09423332992,25.58257631326525,19.93454832703267,47.262502586093404,5.172186800579285,1.184900976132709
1,Street Light Pole Door Missing Complaint,5,12754.555499999999,ROGERS PARK,53169,86660.09423332992,25.58257631326525,19.93454832703267,47.262502586093404,5.172186800579285,0.09403976001053245
1,Tobacco - General Complaint,2,215.3461111111111,ROGERS PARK,53169,86660.09423332992,25.58257631326525,19.93454832703267,47.262502586093404,5.172186800579285,0.03761590400421298
1,Tobacco - Sale to Minors Complaint,6,1469.9676851851852,ROGERS PARK,53169,86660.09423332992,25.58257631326525,19.93454832703267,47.262502586093404,5.172186800579285,0.11284771201263893
1,Traffic Signal Out Complaint,516,185.13836993970713,ROGERS PARK,53169,86660.09423332992,25.58257631326525,19.93454832703267,47.262502586093404,5.172186800579285,9.70490323308695
1,Tree Debris Clean-Up Request,631,104.86682866701885,ROGERS PARK,53169,86660.09423332992,25.58257631326525,19.93454832703267,47.262502586093404,5.172186800579285,11.867817713329195
