acs_year,community_area,community_area_name,community_area_number,total_population,total_households_est,income_estimate,pct_black,pct_hispanic,pct_white,pct_asian
2023,BELMONT CRAGIN,BELMONT CRAGIN,19,73988,16346,79959.16432154656,4.554792669081473,77.73017246039899,37.72098178082932,2.6206952478780345
2023,HERMOSA,HERMOSA,20,23200,5214,79531.07019562715,4.685344827586206,80.07758620689656,35.85344827586207,3.0258620689655173
2023,AVONDALE,AVONDALE,21,36350,7771,97008.10706472784,2.5502063273727646,51.18569463548831,53.0646492434663,4.814305364511692
2023,LOGAN SQUARE,LOGAN SQUARE,22,71354,13825,106896.02169981918,6.103371920284777,34.7674972671469,64.31874877371976,4.686492698377106
2023,HUMBOLDT PARK,HUMBOLDT PARK,23,55015,11956,68002.46738039478,36.042897391620464,49.78460419885486,26.678178678542213,2.426610924293375
2023,WEST TOWN,WEST TOWN,24,86453,16531,119761.35744964007,6.985298370212717,19.778376690224746,71.43650307103282,5.943113599296727
2023,AUSTIN,AUSTIN,25,100278,21962,65928.64948547492,73.39795368874529,19.536688007339595,10.418037854763757,0.676120385328786
2023,WEST GARFIELD PARK,WEST GARFIELD PARK,26,16345,3456,53732.63888888889,92.05873355766289,5.3716732945855,3.065157540532273,0.07341694707861732
2023,EAST GARFIELD PARK,EAST GARFIELD PARK,27,19855,4195,54934.44576877235,85.17250062956434,7.731050113321582,7.741123142785193,0.17627801561319567
2023,NEAR WEST SIDE,NEAR WEST SIDE,28,65370,11948,105860.8135252762,24.627504971699558,10.370200397735964,47.17454489827138,17.745143031971853
2023,NORTH LAWNDALE,NORTH LAWNDALE,29,30355,6548,59615.53145998778,79.18300115302257,14.537967385933126,8.38412123208697,0.194366661176083
2023,SOUTH LAWNDALE,SOUTH LAWNDALE,30,69554,13511,61629.41307083117,12.035253184576012,81.93921269804756,31.644477672024614,0.871265491560514
2023,LOWER WEST SIDE,LOWER WEST SIDE,31,34177,7215,82193.34719334719,3.2712057816660325,69.28343622904293,39.00869005471516,4.184100418410042
2023,LOOP,LOOP,32,38284,6882,126385.86166811973,8.14961863964058,11.224010030299864,58.79479678194546,23.11409466095497
2023,NEAR SOUTH SIDE,NEAR SOUTH SIDE,33,26307,5715,128595.80052493438,25.042764283270614,5.070893678488615,53.647318204280225,14.558862660128483
2023,ARMOUR SQUARE,ARMOUR SQUARE,34,13149,3103,69307.92781179503,11.308844779070652,4.296904707582326,19.43874058863792,63.8983953152331
2023,DOUGLAS,DOUGLAS,35,18629,2954,73307.37982396751,66.56288582317892,7.601052123033979,12.228246282677546,10.768157174298137
2023,OAKLAND,OAKLAND,36,4373,1040,59483.17307692308,90.23553624514064,2.995655156643037,3.6359478618797167,1.1662474273953807
2023,FULLER PARK,FULLER PARK,37,2186,430,46540.6976744186,84.62946020128088,10.612991765782251,6.77035681610247,0.32021957913998167
2023,GRAND BOULEVARD,GRAND BOULEVARD,38,24808,5206,81041.10641567422,88.46742986133506,3.2610448242502423,5.397452434698485,0.8223153821347952
2023,KENWOOD,KENWOOD,39,14368,2876,96696.80111265647,68.14448775055679,2.665645879732739,20.58741648106904,4.851057906458797
2023,WASHINGTON PARK,WASHINGTON PARK,40,12362,2717,47860.691939639306,94.57207571590358,1.3832713153211453,1.9576120368872352,0.0
2023,HYDE PARK,HYDE PARK,41,24092,3674,113619.35220468155,25.498090652498757,7.313631080856715,47.77104433006807,15.619292711273452
2023,WOODLAWN,WOODLAWN,42,24437,4608,67377.38715277778,77.60772598927855,3.204157629823628,11.486680034374105,3.547898678233826
2023,SOUTH SHORE,SOUTH SHORE,43,46276,9423,66446.460787435,93.65329760567033,3.1614659866885644,3.4315844066038554,0.3457515774915723
2023,CHATHAM,CHATHAM,44,31440,6544,70887.45415647922,94.51017811704835,2.490458015267176,1.316793893129771,0.3530534351145038
2023,AVALON PARK,AVALON PARK,45,9492,2413,79625.9842519685,94.01601348504003,0.5056890012642226,0.28445006321112515,0.6847871892119679
2023,SOUTH CHICAGO,SOUTH CHICAGO,46,29072,6339,66897.38129042435,75.49532195927353,19.276279581728122,9.675976884975233,0.42996697853604837
2023,BURNSIDE,BURNSIDE,47,2229,440,88295.45454545454,90.04037685060565,4.8452220726783315,1.794526693584567,0.0
2023,CALUMET HEIGHTS,CALUMET HEIGHTS,48,12078,2901,92709.41054808686,94.96605398244743,4.123199205166419,1.0763371419109125,0.1407517800960424
2023,ROSELAND,ROSELAND,49,37660,8504,68879.35089369709,95.33988316516198,1.858736059479554,1.7737652681890599,0.2257036643653744
2023,PULLMAN,PULLMAN,50,6851,1645,72013.67781155015,77.2587943365932,8.159392789373813,16.39176762516421,0.07298204641658153
2023,SOUTH DEERING,SOUTH DEERING,51,15100,3340,63660.17964071856,64.36423841059603,31.17218543046358,20.576158940397352,0.006622516556291391
2023,EAST SIDE,EAST SIDE,52,23629,5612,75690.48467569494,1.5447120064327733,86.66892378010073,46.095899107029496,0.6178848025731093
2023,WEST PULLMAN,WEST PULLMAN,53,25159,5857,71064.53815946731,89.1370881195596,7.37708176000636,3.6090464644858695,0.0
2023,RIVERDALE,RIVERDALE,54,7740,1865,35509.383378016086,95.15503875968993,3.255813953488372,2.3385012919896644,0.0
2023,HEGEWISCH,HEGEWISCH,55,8895,2136,87979.86891385767,13.783024170882518,48.690275435638,53.60314783586284,0.6632939853850478
2023,GARFIELD RIDGE,GARFIELD RIDGE,56,36265,8908,101449.53973955994,3.2620984420239902,55.79760099269267,60.49634633944575,1.6407003998345513
2023,ARCHER HEIGHTS,ARCHER HEIGHTS,57,13875,2950,84372.8813559322,0.07207207207207207,79.97837837837838,44.91531531531531,4.8936936936936934
2023,BRIGHTON PARK,BRIGHTON PARK,58,42360,9807,69208.21861935352,2.211992445703494,79.75684608120869,33.092540132200185,10.365911237016052
2023,MCKINLEY PARK,MCKINLEY PARK,59,15400,3618,85883.08457711442,2.2012987012987013,55.02597402597402,33.75974025974026,27.805194805194805
2023,BRIDGEPORT,BRIDGEPORT,60,33012,7822,87292.25262081309,3.0019386889615896,20.83787713558706,40.6215921483097,40.08845268387253
2023,NEW CITY,NEW CITY,61,40843,8902,64743.877780274095,20.679186151849766,66.86825159758098,30.7445584310653,2.4263643708836278
2023,WEST ELSDON,WEST ELSDON,62,18201,3985,85200.75282308657,0.7032580627438053,81.20982363606394,42.854788198450635,3.7800120872479535
2023,GAGE PARK,GAGE PARK,63,34650,7486,71571.93427731766,4.04906204906205,92.30880230880231,39.304473304473305,0.7619047619047619
2023,CLEARING,CLEARING,64,24710,5948,94006.38870208473,1.9668150546337515,60.18615944961554,56.32132739781465,0.7203561311210037
2023,WEST LAWN,WEST LAWN,65,32451,6972,85187.17728055078,2.862777726418292,84.04979815722166,42.26988382484361,0.7858001294259037
2023,CHICAGO LAWN,CHICAGO LAWN,66,52245,11518,64824.62233026567,37.62656713561106,58.20078476409226,20.648865920183752,0.5206239831562829
2023,WEST ENGLEWOOD,WEST ENGLEWOOD,67,25971,5638,55826.53423199716,79.07666243117323,17.996996650109736,5.209656925031767,0.3195872319125178
2023,ENGLEWOOD,ENGLEWOOD,68,21337,4545,51031.35313531353,91.3905422505507,5.220977644467357,2.9010638796456862,0.7826779772226647
2023,GREATER GRAND CROSSING,GREATER GRAND CROSSING,69,29052,6657,58378.39867808322,94.74046537243564,2.6022304832713754,1.204736334847859,0.2547156822249759
2023,ASHBURN,ASHBURN,70,42842,9882,90704.05788301963,42.30428084589889,46.48942626394659,26.368983707576675,1.017692918164418
2023,AUBURN GRESHAM,AUBURN GRESHAM,71,46483,10636,67776.88980819857,93.39758621431491,3.392638168792892,1.635006346406213,0.8583783318632618
2023,BEVERLY,BEVERLY,72,19811,5138,122783.67068898404,33.67321185200141,7.011256372722224,57.19044975013882,0.8883953359244865
2023,WASHINGTON HEIGHTS,WASHINGTON HEIGHTS,73,26310,6415,84310.21044427124,96.54503990877993,0.9426073736221969,1.85480805777271,0.09122006841505131
2023,MOUNT GREENWOOD,MOUNT GREENWOOD,74,19107,4419,122004.41276306857,1.8003872926152718,9.598576437954677,89.0616004605642,1.0572041660124563
2023,MORGAN PARK,MORGAN PARK,75,21288,5038,90663.45772131799,59.98684704998121,4.608229988726043,31.97576099210823,0.9911687335588125
2023,OHARE,OHARE,76,16281,4261,88168.8570758038,6.627357041950741,18.50623426079479,65.25397702843806,13.7399422639887
2023,EDGEWATER,EDGEWATER,77,47484,8462,102533.38454266131,11.970347906663296,16.333923005644007,60.32768932693118,12.054586808188022
