community_area,total_requests,avg_response_time,community_area_name,total_population,income_estimate,pct_black,pct_hispanic,pct_white,pct_asian,requests_per_1000
24,64670,633.5702401852138,WEST TOWN,86453,119761.35744964007,6.985298370212717,19.778376690224746,71.43650307103282,5.943113599296727,748.0365053844286
25,66447,744.9419100728567,AUSTIN,100278,65928.64948547492,73.39795368874529,19.536688007339595,10.418037854763757,0.676120385328786,662.6278944534196
26,15423,894.3961820549396,WEST GARFIELD PARK,16345,53732.63888888889,92.05873355766289,5.3716732945855,3.065157540532273,0.07341694707861732,943.591312327929
27,17076,1116.4238253656854,EAST GARFIELD PARK,19855,54934.44576877235,85.17250062956434,7.731050113321582,7.741123142785193,0.17627801561319567,860.0352556031227
28,1328589,26.423972897813645,NEAR WEST SIDE,65370,105860.8135252762,24.627504971699558,10.370200397735964,47.17454489827138,17.745143031971853,20324.13951353832
29,26256,893.390399633523,NORTH LAWNDALE,30355,59615.53145998778,79.18300115302257,14.537967385933126,8.38412123208697,0.194366661176083,864.9645857354636
30,37359,609.0044774054147,SOUTH LAWNDALE,69554,61629.41307083117,12.035253184576012,81.93921269804756,31.644477672024614,0.871265491560514,537.1222359605487
31,28942,520.463777564708,LOWER WEST SIDE,34177,82193.34719334719,3.2712057816660325,69.28343622904293,39.00869005471516,4.184100418410042,846.82681335401
32,21063,703.9925440609389,LOOP,38284,126385.86166811973,8.14961863964058,11.224010030299864,58.79479678194546,23.11409466095497,550.1776198934281
33,8366,692.6083865580259,NEAR SOUTH SIDE,26307,128595.80052493438,25.042764283270614,5.070893678488615,53.647318204280225,14.558862660128483,318.01421674839395
34,7264,633.5349335000611,ARMOUR SQUARE,13149,69307.92781179503,11.308844779070652,4.296904707582326,19.43874058863792,63.8983953152331,552.437447714655
35,6052,680.8994878644341,DOUGLAS,18629,73307.37982396751,66.56288582317892,7.601052123033979,12.228246282677546,10.768157174298137,324.8698266144184
36,2871,625.1543531096405,OAKLAND,4373,59483.17307692308,90.23553624514064,2.995655156643037,3.6359478618797167,1.1662474273953807,656.5286988337525
37,3357,744.5627967265747,FULLER PARK,2186,46540.6976744186,84.62946020128088,10.612991765782251,6.77035681610247,0.32021957913998167,1535.6816102470266
38,12815,648.0411433433043,GRAND BOULEVARD,24808,81041.10641567422,88.46742986133506,3.2610448242502423,5.397452434698485,0.8223153821347952,516.5672363753629
39,7086,630.4472094427197,KENWOOD,14368,96696.80111265647,68.14448775055679,2.665645879732739,20.58741648106904,4.851057906458797,493.1792873051225
40,6976,810.7790101777523,WASHINGTON PARK,12362,47860.691939639306,94.57207571590358,1.3832713153211453,1.9576120368872352,0.0,564.3099822035269
41,8508,862.7536000430966,HYDE PARK,24092,113619.35220468155,25.498090652498757,7.313631080856715,47.77104433006807,15.619292711273452,353.14627262161713
